2015.249991	71.80391829
2015.333324	72.07189841
2015.416658	72.33987854
2015.499991	72.60785867
2015.583324	72.87583879
2015.666658	73.14381892
2015.749991	73.41179904
2015.833324	73.67977917
2015.916658	73.9477593
2015.999991	74.21573942
2016.083324	74.48371955
2016.166658	74.75169968
2016.249991	75.0196798
2016.333324	75.28765993
2016.416658	75.55564005
2016.499991	75.82362018
2016.583324	76.09160031
2016.666658	76.35958043
2016.749991	76.62756056
2016.833324	76.89554069
2016.916658	77.16352081
2016.999991	77.43150094
2017.083324	77.69948106
2017.166658	77.96746119
2017.249991	78.23544132
2017.333324	78.50342144
2017.416658	78.77140157
2017.499991	79.0393817
2017.583324	79.30736182
2017.666658	79.57534195
2017.749991	79.84332207
2017.833324	80.1113022
2017.916658	80.37928233
2017.999991	80.64726245
2018.083324	80.91524258
2018.166658	81.18322271
2018.249991	81.45120283
2018.333324	81.71918296
2018.416658	81.98716308
2018.499991	82.25514321
2018.583324	82.52312334
2018.666658	82.79110346
2018.749991	83.05908359
2018.833324	83.32706372
2018.916658	83.59504384
2018.999991	83.86302397
2019.083324	84.13100409
2019.166658	84.39898422
2019.249991	84.66696435
2019.333324	84.93494447
2019.416658	85.2029246
2019.499991	85.47090473
2019.583324	85.73888485
2019.666658	86.00686498
2019.749991	86.27484511
2019.833324	86.54282523
2019.916658	86.81080536
2019.999991	87.07878548
2020.083324	87.34676561
2020.166658	87.61474574
2020.249991	87.88272586
2020.333324	88.15070599
2020.416658	88.41868612
2020.499991	88.68666624
2020.583324	88.95464637
2020.666658	89.22262649
2020.749991	89.49060662
2020.833324	89.75858675
2020.916658	90.02656687
2020.999991	90.294547
2021.083324	90.56252713
2021.166657	90.83050725
2021.249991	91.09848738
2021.333324	91.3664675
2021.416657	91.63444763
2021.499991	91.90242776
2021.583324	92.17040788
2021.666657	92.43838801
2021.749991	92.70636814
2021.833324	92.97434826
2021.916657	93.24232839
2021.999991	93.51030851
2022.083324	93.77828864
2022.166657	94.04626877
2022.249991	94.31424889
2022.333324	94.58222902
2022.416657	94.85020915
2022.499991	95.11818927
2022.583324	95.3861694
2022.666657	95.65414952
2022.749991	95.92212965
2022.833324	96.19010978
2022.916657	96.4580899
2022.999991	96.72607003
2023.083324	96.99405016
2023.166657	97.26203028
2023.249991	97.53001041
2023.333324	97.79799053
2023.416657	98.06597066
2023.499991	98.33395079
2023.583324	98.60193091
2023.666657	98.86991104
2023.749991	99.13789117
2023.833324	99.40587129
2023.916657	99.67385142
2023.999991	99.94183155
2024.083324	100.2098117
2024.166657	100.4777918
2024.249991	100.7457719
2024.333324	101.0137521
2024.416657	101.2817322
2024.499991	101.5497123
2024.583324	101.8176924
2024.666657	102.0856726
2024.749991	102.3536527
2024.833324	102.6216328
2024.916657	102.8896129
2024.999991	103.1575931
2025.083324	103.4255732
2025.166657	103.6935533
2025.249991	103.9615334
2025.333324	104.2295136
2025.416657	104.4974937
2025.499991	104.7654738
2025.583324	105.0334539
2025.666657	105.3014341
2025.749991	105.5694142
2025.833324	105.8373943
2025.916657	106.1053744
2025.999991	106.3733546
